id,user_id,bank_id
5,28,356
6,37,379
7,37,386
8,37,396
9,37,403
10,37,412
11,37,415
12,37,417
13,37,419
14,37,420
15,37,422
16,37,423
17,19,1432
18,19,1207
19,19,1289
20,19,1093
21,19,1253
22,19,1293
23,19,1252
24,19,1250
25,19,1418
26,19,1415
27,19,1411
28,19,1080
29,19,1210
30,19,1433
31,19,1263
32,19,1258
33,19,1098
34,19,1291
35,19,1285
36,19,1086
37,19,1290
38,19,1204
39,19,1302
40,19,1437
41,19,1261
42,19,1431
43,19,1090
44,19,1298
45,19,1266
46,40,404
47,40,412
48,41,900
49,41,908
50,41,929
51,41,936
52,41,939
53,41,945
54,41,1084
55,41,1085
56,41,1088
57,41,1090
58,41,1092
59,41,1093
60,41,1095
61,41,1105
62,41,1107
63,41,1108
64,41,1109
65,41,1115
66,41,1118
67,44,327
68,44,321
69,25,944
70,25,1283
71,25,1098
72,25,1297
73,25,399
74,25,442
75,25,422
76,25,1203
77,25,1300
78,41,1211
79,41,1210
80,41,1208
81,41,1207
82,41,1205
83,41,1203
84,41,1201
85,44,355
86,44,383
87,44,404
88,44,410
89,44,412
90,44,414
91,44,421
92,44,422
93,44,442
94,44,500
95,44,505
96,44,507
97,44,506
98,44,515
99,26,388
100,26,365
101,26,392
102,26,400
103,26,411
104,26,412
105,26,415
106,26,419
107,26,420
108,26,422
109,26,423
110,26,429
111,26,436
112,26,452
113,26,457
114,26,461
115,26,464
116,26,476
117,26,481
118,26,489
119,26,493
120,26,495
121,26,496
122,26,506
123,26,507
124,26,519
125,26,520
126,25,1302
127,25,1293
128,46,468
129,46,448
130,46,442
131,46,434
132,46,420
133,46,414
134,25,929
135,25,932
136,25,935
137,25,936
138,25,943
139,25,945
140,28,1450
141,28,1411
142,28,1416
143,28,1434
144,28,1440
145,28,1445
146,46,908
147,28,1199
148,28,1200
149,28,1201
150,28,1203
151,28,1205
152,28,1207
153,28,1208
160,34,429
161,28,1083
162,28,1084
163,28,1085
164,28,1087
165,28,1092
166,28,1093
167,34,473
168,28,1098
169,34,421
170,34,467
171,34,379
172,34,515
173,34,377
174,34,412
186,28,916
187,28,929
188,28,932
189,28,935
190,28,936
191,28,937
192,28,939
193,28,943
194,28,941
195,28,947
198,48,1204
199,48,1092
200,48,1093
201,48,1094
202,48,1098
203,44,911
204,44,918
207,39,1304
208,44,473
218,28,506
219,28,401
220,28,515
221,28,430
222,28,1296
223,28,1442
224,28,1110
225,48,953
226,28,951
227,28,1314
228,28,566
229,28,955
230,28,1452
231,28,536
234,3,1090
235,3,1092
236,3,1093
237,41,476
238,41,940
239,41,496
240,41,1283
241,3,1111
242,3,1119
243,3,1118
248,3,1203
249,44,1090
250,3,1209
256,3,1246
257,3,1257
258,3,1283
259,3,1292
260,3,1293
261,3,1307
262,3,1308
263,3,1426
264,3,1450
265,3,1449
266,3,1448
273,37,901
274,37,903
275,37,948
276,37,949
278,37,958
280,37,959
281,37,963
282,37,964
283,37,965
284,37,966
285,37,967
299,55,326
300,55,324
306,44,1290
323,40,388
324,40,399
325,40,407
327,40,417
329,40,422
330,40,429
334,40,432
335,40,433
338,40,464
339,40,471
340,40,476
343,40,489
344,40,491
345,40,496
346,40,506
347,40,507
349,40,510
350,40,511
351,40,512
352,40,514
355,40,517
357,40,520
358,40,525
368,55,1209
369,55,1414
370,55,1415
371,55,1419
372,55,1422
373,55,1423
374,55,1425
375,55,1427
376,55,1428
377,55,1429
378,55,1252
379,55,1256
380,55,1259
381,55,1261
382,55,1274
383,55,1276
384,55,1286
385,55,1297
386,55,1300
406,40,900
407,40,902
409,40,907
410,40,908
411,40,910
412,40,911
413,40,916
414,40,927
415,40,929
416,40,936
417,40,940
418,40,941
419,40,945
420,40,947
434,40,1090
435,40,1092
436,40,1096
437,40,1097
438,40,1098
446,40,1194
447,40,1198
448,40,1203
450,40,1204
451,40,1205
452,57,1249
453,57,1280
454,31,1256
467,40,1245
468,40,1270
469,40,1271
470,40,1272
471,40,1276
472,40,1279
473,40,1281
474,40,1293
475,40,1294
476,40,1297
477,40,1302
478,40,1413
483,55,896
484,55,897
503,3,935
505,3,1437
509,25,1290
510,25,1294
511,25,1264
512,25,1315
513,25,1204
515,14,355
516,14,373
517,14,376
518,14,386
519,14,388
520,14,389
521,14,390
523,14,392
524,14,395
525,14,404
526,14,408
527,14,412
528,14,415
529,14,418
530,14,419
531,14,420
532,14,421
533,14,424
534,14,427
535,14,428
536,14,435
537,14,438
538,14,440
539,14,442
540,14,453
541,14,454
542,14,457
543,14,458
544,14,460
545,14,462
546,14,465
547,14,466
548,14,468
549,14,473
550,14,896
551,14,899
552,14,900
553,14,901
554,14,903
555,14,904
556,14,905
557,14,906
558,14,908
559,14,909
560,14,911
561,14,912
562,14,913
563,14,914
564,14,915
565,14,916
566,14,917
567,14,919
568,14,920
569,14,925
570,14,927
571,56,519
572,56,461
573,56,364
574,56,412
575,56,507
576,56,512
577,56,515
578,56,439
579,56,495
580,56,513
581,56,370
582,56,464
583,56,411
584,56,390
585,56,363
586,56,379
587,56,415
588,56,517
589,56,432
590,56,523
591,56,433
592,56,510
593,56,525
594,56,489
595,56,399
596,56,365
597,56,398
598,56,472
599,56,493
600,56,468
601,56,483
602,56,504
603,56,395
604,56,500
605,56,404
606,56,388
607,56,355
608,56,454
609,56,508
610,56,496
611,56,378
612,56,441
613,56,453
614,56,383
615,56,469
616,56,524
617,56,358
618,34,936
619,34,909
620,34,926
621,34,935
622,34,912
623,34,921
640,37,448
641,37,1283
642,37,483
643,37,896
644,37,1293
645,37,394
646,37,1416
647,37,1279
648,37,449
649,37,1439
650,37,1247
651,37,475
652,37,399
653,37,480
654,37,1295
655,37,441
656,37,1259
657,37,327
658,37,484
659,37,376
660,37,457
661,37,1296
662,37,1304
663,37,510
664,37,522
665,37,1096
666,37,1284
667,37,1291
668,37,490
669,37,493
670,37,502
671,37,935
672,37,469
673,37,1428
674,37,1434
675,37,1208
676,37,1097
677,37,1095
678,37,519
679,37,513
680,37,1253
681,37,405
682,37,504
683,37,1089
684,34,1207
685,37,1297
686,37,1250
687,37,471
688,37,514
689,37,900
690,37,1444
691,37,499
692,37,482
693,37,496
694,37,515
695,37,430
696,37,450
697,37,924
698,37,1092
699,37,945
700,37,937
701,37,523
702,37,1277
703,37,1090
704,37,408
705,37,1257
706,37,478
707,37,1271
708,37,932
709,37,500
710,37,1256
711,37,1418
712,37,508
713,37,1414
714,37,489
715,37,454
716,37,943
717,37,1267
718,37,940
719,37,440
720,37,1245
721,37,1278
722,37,911
723,37,1415
724,37,1440
725,37,517
726,37,939
727,37,488
728,37,1261
729,37,1298
730,37,1260
731,37,1202
732,37,414
733,37,947
734,37,1274
735,37,1262
736,37,460
737,37,1273
738,37,930
739,37,1435
740,37,434
741,37,1203
742,37,421
743,37,1437
744,37,373
745,37,512
746,37,1198
747,37,494
748,37,425
749,37,1438
750,34,1298
751,34,1297
752,37,1429
753,37,464
754,34,1277
755,34,1301
756,37,1264
757,34,1293
758,34,1295
759,37,497
760,37,1411
761,37,516
762,37,912
763,37,1085
764,37,433
765,37,1430
766,37,1426
767,37,495
768,37,507
769,37,413
770,37,1421
771,34,1438
772,34,1441
773,34,1417
782,34,510
783,34,506
784,34,492
785,34,400
786,34,514
787,34,475
788,34,447
789,34,508
790,34,486
792,34,417
793,34,1439
795,34,498
797,34,511
813,63,525
820,63,896
821,63,899
822,49,1634
823,68,1527
824,10,1555
825,66,1596
826,66,1597
827,66,1601
828,66,1637
829,66,1638
830,66,1642
831,66,1643
832,66,1651
833,66,1654
834,66,1656
835,66,1665
836,66,1670
837,66,1672
838,66,1675
839,66,1521
840,66,1531
841,66,1533
842,66,1535
843,66,1543
844,66,1571
845,66,1573
846,66,1575
847,66,1580
848,66,1585
849,66,1586
850,66,1590
851,66,1593
852,69,1642
853,69,1657
854,69,1670
855,69,1679
856,69,1682
857,69,1687
858,69,1689
859,70,1543
860,70,1539
861,70,1535
862,70,1527
863,70,1572
864,68,1521
865,68,1535
866,70,1578
867,70,1586
868,70,1599
869,70,1597
870,70,1611
871,65,1521
872,65,1536
873,65,1540
874,65,1572
875,65,1586
876,65,1593
877,65,1597
878,65,1596
879,65,1645
880,65,1668
881,65,1670
882,65,1716
883,65,1717
884,65,1718
885,65,1730
886,65,1732
887,65,1733
888,65,1734
889,65,1735
890,65,1736
891,65,1737
892,65,1738
893,65,1739
894,65,1740
895,65,1741
896,65,1742
897,65,1743
898,65,1744
899,65,1745
900,65,1746
901,65,1747
902,65,1748
903,65,1749
904,65,1750
905,65,1751
906,65,1752
907,65,1753
908,65,1754
909,65,1755
910,65,1756
911,65,1757
912,65,1758
913,65,1759
914,65,1760
915,65,1761
916,65,1762
917,65,1763
918,65,1764
919,65,1765
920,65,1766
921,65,1767
922,65,1768
923,65,1769
924,65,1770
925,65,1808
926,65,1809
927,65,1810
928,65,1811
929,65,1812
930,65,1813
931,65,1814
932,65,1815
933,65,1816
934,65,1817
935,65,1818
936,65,1819
937,65,1820
938,65,1821
939,65,1822
940,65,1823
941,65,1824
942,65,1825
943,65,1826
944,65,1827
945,65,1828
946,65,1829
947,65,1830
948,65,1831
949,65,1832
950,65,1833
951,65,1834
952,65,1835
953,65,1836
954,65,1837
955,65,1838
956,65,1839
957,65,1840
958,65,1841
959,65,1842
960,65,1843
961,65,1844
962,65,1845
963,65,1846
964,65,1847
965,65,1848
966,65,1849
967,65,1850
968,65,1851
969,65,1852
970,65,1853
971,65,1854
972,65,1855
973,65,1856
974,65,1857
975,65,1858
976,65,1859
977,65,1860
978,65,1861
979,65,1862
980,65,1863
981,65,1864
982,65,1865
983,65,1866
984,65,1867
985,65,1868
986,65,1869
987,65,1870
988,65,1871
989,65,1872
990,65,1873
991,65,1874
992,65,1875
993,65,1876
994,65,1877
995,65,1878
996,65,1879
997,65,1880
998,65,1881
999,65,1882
1000,65,1883
1001,65,1884
1002,65,1885
1003,65,1886
1004,65,1887
1005,65,1888
1006,65,1889
1007,65,1890
1008,65,1891
1009,65,1892
1010,65,1893
1011,65,1894
1012,65,1895
1013,65,1896
1014,65,1897
1015,65,1898
1016,65,1899
1017,65,1900
1018,65,1901
1019,65,1902
1020,65,1903
1021,65,1904
1022,65,1905
1023,65,1906
1024,65,1907
1025,65,1908
1026,65,1909
1027,65,1910
1028,65,1911
1029,65,1912
1030,65,1913
1031,65,1914
1032,10,1656
1033,10,1660
1034,10,1670
1035,10,1687
1036,70,1636
1037,70,1637
1038,70,1640
1039,70,1642
1040,10,1684
1041,70,1643
1042,70,1653
1043,10,1679
1044,70,1667
1045,70,1657
1046,70,1671
1047,70,1670
1048,70,1672
1052,68,1572
1053,68,1576
1054,68,1579
1055,68,1584
1056,68,1586
1057,68,1588
1058,68,1589
1059,68,1590
1060,68,1592
1061,68,1596
1062,68,1597
1063,68,1601
1079,72,1522
1080,72,1531
1081,72,1533
1082,72,1535
1083,72,1537
1084,72,1538
1085,72,1543
1086,72,1545
1087,72,1593
1088,72,1642
1089,72,1670
1090,72,1717
1092,72,1722
1094,72,1736
1098,66,1913
1099,66,1905
1100,72,1761
1101,66,1902
1102,66,1887
1103,66,1883
1104,66,1878
1105,66,1877
1106,66,1869
1107,66,1864
1108,66,1858
1109,66,1849
1110,66,1838
1111,66,1827
1112,66,1816
1113,66,1808
1114,66,1756
1115,66,1755
1116,66,1750
1117,66,1749
1118,66,1742
1119,66,1741
1120,66,1738
1121,66,1736
1122,66,1723
1123,66,1717
1125,69,1792
1126,69,1795
1127,69,1797
1128,69,1798
1129,69,1777
1130,69,1729
1131,69,1738
1132,69,1739
1133,69,1741
1134,71,1539
1135,71,1542
1136,71,1543
1137,71,1545
1138,4,1520
1139,4,1522
1140,4,1533
1141,4,1535
1142,4,1536
1143,71,1547
1144,4,1537
1145,71,1550
1146,71,1552
1147,71,1553
1148,4,1555
1149,4,1558
1150,71,1572
1151,71,1573
1152,71,1576
1153,71,1578
1154,4,1573
1155,71,1580
1156,71,1581
1157,4,1577
